condition,observable,time,value
cond_il10_1,pSTAT3,45.0,0.7130151870827859
cond_il10_1,pSTAT3,46.0,0.7081050126394421
cond_il10_1,pSTAT3,47.0,0.7028809297399756
cond_il10_1,pSTAT3,48.0,0.6973761347243869
cond_il10_1,pSTAT3,49.0,0.6916222796264634
cond_il10_1,pSTAT3,50.0,0.6856495312280002
cond_il10_1,pSTAT3,51.0,0.6794866167491914
cond_il10_1,pSTAT3,52.0,0.6731608578987119
cond_il10_1,pSTAT3,53.0,0.6666981962136952
cond_il10_1,pSTAT3,54.0,0.6601232127484921
cond_il10_1,pSTAT3,55.0,0.6534591432693452
cond_il10_1,pSTAT3,56.0,0.6467278915364137
cond_il10_1,pSTAT3,57.0,0.6399500424293857
cond_il10_1,pSTAT3,58.0,0.6331448760955063
cond_il10_1,pSTAT3,59.0,0.6263303843081587
cond_il10_1,pSTAT3,60.0,0.6195232898671926
cond_il10_1,pSTAT3,61.0,0.6127390694504692
cond_il10_1,pSTAT3,62.0,0.6059919802251202
cond_il10_1,pSTAT3,63.0,0.599295090326431
cond_il10_1,pSTAT3,64.0,0.5926603130221454
cond_il10_1,pSTAT3,65.0,0.5860984443443776
cond_il10_1,pSTAT3,66.0,0.5796192038749244
cond_il10_1,pSTAT3,67.0,0.573231278242787
cond_il10_1,pSTAT3,68.0,0.5669423668754997
cond_il10_1,pSTAT3,69.0,0.5607592295453966
cond_il10_1,pSTAT3,70.0,0.5546877352391276
cond_il10_1,pSTAT3,71.0,0.5487329118572654
cond_il10_1,pSTAT3,72.0,0.5428989963282188
cond_il10_1,pSTAT3,73.0,0.5371894847197688
cond_il10_1,pSTAT3,74.0,0.5316071819666549
cond_il10_1,pSTAT3,75.0,0.5261542508951011
cond_il10_1,pSTAT3,76.0,0.5208322602374887
cond_il10_1,pSTAT3,77.0,0.5156422313922008
cond_il10_1,pSTAT3,78.0,0.5105846837236092
cond_il10_1,pSTAT3,79.0,0.5056596782190924
cond_il10_1,pSTAT3,80.0,0.5008668593611056
cond_il10_1,pSTAT3,81.0,0.49620549512479567
cond_il10_1,pSTAT3,82.0,0.4916745150152557
cond_il10_1,pSTAT3,83.0,0.48727254600113323
cond_il10_1,pSTAT3,84.0,0.48299794670528834
cond_il10_1,pSTAT3,85.0,0.4788488394172793
cond_il10_1,pSTAT3,86.0,0.47482313982388424
cond_il10_1,pSTAT3,87.0,0.47091858490902555
cond_il10_1,pSTAT3,88.0,0.4671327590533217
cond_il10_1,pSTAT3,89.0,0.4634631181596817
cond_il10_1,pSTAT3,90.0,0.45990701192559363
cond_il6_10,pSTAT1,0.0,0.0
cond_il6_10,pSTAT1,1.0,0.0009226594081331542
cond_il6_10,pSTAT1,2.0,0.00987715863983457
cond_il6_10,pSTAT1,3.0,0.03419166348270141
cond_il6_10,pSTAT1,4.0,0.0755117402093581
cond_il6_10,pSTAT1,5.0,0.13172890442460145
cond_il6_10,pSTAT1,6.0,0.1994351092890108
cond_il6_10,pSTAT1,7.0,0.2751138284717221
cond_il6_10,pSTAT1,8.0,0.3555521680437245
cond_il6_10,pSTAT1,9.0,0.43794347285508983
cond_il6_10,pSTAT1,10.0,0.5198798575467876
cond_il6_10,pSTAT1,11.0,0.5993105042611577
cond_il6_10,pSTAT1,12.0,0.6744967437052867
cond_il6_10,pSTAT1,13.0,0.7439774253056823
cond_il6_10,pSTAT1,14.0,0.8065482650100538
cond_il6_10,pSTAT1,15.0,0.8612524800348704
cond_il6_10,pSTAT1,16.0,0.9073769671038497
cond_il6_10,pSTAT1,17.0,0.9444482887431286
cond_il6_10,pSTAT1,18.0,0.9722246849354831
cond_il6_10,pSTAT1,19.0,0.9906828244098791
cond_il6_10,pSTAT1,20.0,1.0000000000458995
cond_il6_10,pSTAT1,21.0,1.0005335021159174
cond_il6_10,pSTAT1,22.0,0.9927990097280959
cond_il6_10,pSTAT1,23.0,0.977449295545504
cond_il6_10,pSTAT1,24.0,0.9552536617661267
cond_il6_10,pSTAT1,25.0,0.9270775832116198
cond_il6_10,pSTAT1,26.0,0.8938612557311649
